Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
36707573;Soggiorno Madrid-Hospitality , comfort & passion.;275911703;Centro Storico;Private room;155;1;1;2019-12-19;0.16;3;173;2020-06-19;Florence;Italy;43.78225294444298, 11.241335882500344;Italy, Florence, Centro Storico
21859113;Be Mate Plaza España Wild 203;157114944;Argüelles;Entire home/apt;147;1;1;2018-12-01;0.05;36;0;2020-07-17;Madrid;Spain;40.421911823829916, -3.716298875039167;Spain, Madrid, Argüelles
21862103;Designer flat in Madrid's exclusive Salamanca area;8851341;Recoletos;Entire home/apt;625;5;2;2018-08-09;0.06;1;177;2020-07-17;Madrid;Spain;40.42205487717857, -3.6889613202974916;Spain, Madrid, Recoletos
21875158;Estudio de diseño en pleno centro de Madrid;159570292;Sol;Private room;500;1;110;2020-02-26;3.41;2;347;2020-07-17;Madrid;Spain;40.41573794398538, -3.7044166450981693;Spain, Madrid, Sol
21932504;Cosy apartment in the cosmopolitan Gran Vía;160055902;Palacio;Entire home/apt;62;2;194;2020-03-11;6.16;1;286;2020-07-17;Madrid;Spain;40.421747567976034, -3.710994512030235;Spain, Madrid, Palacio
22042300;Habitación 1. Para estudiar o trabajar;160981040;Portazgo;Private room;12;15;11;2018-10-30;0.4;3;106;2020-07-17;Madrid;Spain;40.391493766002014, -3.6450831761057922;Spain, Madrid, Portazgo
22043848;Sol & Gran Via: quiet and fully renovated. AC;160967778;Sol;Entire home/apt;70;4;109;2020-06-05;3.43;6;125;2020-07-17;Madrid;Spain;40.418435611771486, -3.7013169106966464;Spain, Madrid, Sol
22048206;Tania Home - Huertas;105797031;Cortes;Entire home/apt;69;10;51;2019-11-03;1.64;2;47;2020-07-17;Madrid;Spain;40.4137713650942, -3.6978832654430414;Spain, Madrid, Cortes
22066174;5-Rooms Rio Confort;54343289;Imperial;Entire home/apt;81;1;87;2020-03-08;2.74;6;0;2020-07-17;Madrid;Spain;40.41094353528144, -3.7216939632075747;Spain, Madrid, Imperial
22079865;No place like home!;34563914;Castillejos;Entire home/apt;50;7;12;2020-03-27;0.44;1;301;2020-07-17;Madrid;Spain;40.45956949608513, -3.6960111111683593;Spain, Madrid, Castillejos
22081119;CUTE Apartment in the HEART of MADRID;118572350;Sol;Entire home/apt;90;3;6;2019-10-07;0.21;4;71;2020-07-17;Madrid;Spain;40.41776527097499, -3.701660151924772;Spain, Madrid, Sol
22237351;Iluminadas y confortables Habitaciones en Madrid;112503975;San Isidro;Private room;18;2;45;2019-11-26;1.45;2;310;2020-07-17;Madrid;Spain;40.39703218432825, -3.7176113522372956;Spain, Madrid, San Isidro
22243109;Double room in Chueca, with private bathroom F 01;132022481;Universidad;Private room;60;1;178;2020-03-04;5.65;46;136;2020-07-17;Madrid;Spain;40.42201816252755, -3.7028333454889197;Spain, Madrid, Universidad
22256414;"Atico Terraza ""La fábula de Sol"" junto a Canalejas";3144135;Sol;Entire home/apt;139;3;4;2020-01-04;0.15;1;116;2020-07-17;Madrid;Spain;40.417031427707414, -3.702488156146016;Spain, Madrid, Sol
22307213;Exclusivo dúplex GRAN VÍA / CHUECA;111127491;Justicia;Entire home/apt;130;2;108;2020-05-18;3.59;7;335;2020-07-17;Madrid;Spain;40.42111308140752, -3.697878666822717;Spain, Madrid, Justicia
22372079;NEW Comfy 1 private BDRM in Salamanca close to IE;506791;Lista;Private room;50;3;0;;;1;0;2020-07-17;Madrid;Spain;40.435880456803055, -3.6785404727410422;Spain, Madrid, Lista
22384390;Apartamento acogedor en Madrid Río;135124002;Comillas;Private room;26;1;1;2017-12-23;0.03;1;0;2020-07-17;Madrid;Spain;40.39523378338563, -3.7096492829071197;Spain, Madrid, Comillas
22536925;Centrical room in the heart of Madrid U;23441165;Jerónimos;Private room;55;1;59;2020-02-24;2.04;26;354;2020-07-17;Madrid;Spain;40.418792430404466, -3.6901628521512206;Spain, Madrid, Jerónimos
22544369;AMPLIO Y FAMILIAR piso 4 habitaciones 2 baños;165612561;Costillares;Entire home/apt;90;2;21;2019-12-15;0.71;1;168;2020-07-17;Madrid;Spain;40.480968567379286, -3.67005960646991;Spain, Madrid, Costillares
22633034;PRADO MUSEUM CHIC & OnSiteParking (*);1722284;Cortes;Entire home/apt;82;3;31;2020-02-11;1.05;2;321;2020-07-17;Madrid;Spain;40.41237924075882, -3.695073736907302;Spain, Madrid, Cortes
22765827;Apartamento 3 habitaciones, metro islas filipinas;69566471;Vallehermoso;Entire home/apt;200;4;1;2019-06-06;0.07;23;365;2020-07-17;Madrid;Spain;40.440137143856525, -3.7092505388047874;Spain, Madrid, Vallehermoso
22806331;COSY STUDIO IN THE CENTER OF MADRID;103336792;Trafalgar;Private room;50;14;1;2019-04-28;0.07;28;1;2020-07-17;Madrid;Spain;40.43276716252003, -3.7015744614556354;Spain, Madrid, Trafalgar
22809388;Habitación Privada en Quintana a 100 mts del Metro;37553921;Ventas;Private room;13;7;1;2018-09-19;0.04;2;14;2020-07-17;Madrid;Spain;40.43232436320622, -3.649500748043541;Spain, Madrid, Ventas
22915537;PLAZA TOROS, Modern and Cozy Apartment in Madrid;7145793;Quintana;Entire home/apt;60;2;30;2020-03-10;1.02;14;162;2020-07-17;Madrid;Spain;40.43389377003234, -3.6546675899938825;Spain, Madrid, Quintana
22943516;Solfai Vacacional 16;91506664;Embajadores;Entire home/apt;75;4;28;2020-03-05;0.94;13;1;2020-07-17;Madrid;Spain;40.40545716872743, -3.701753116634266;Spain, Madrid, Embajadores
23138724;Fantastic residence ``FUNWAY´´ north zone Madrid;103336792;Castillejos;Private room;50;1;0;;;28;1;2020-07-17;Madrid;Spain;40.45844896730607, -3.698853676711589;Spain, Madrid, Castillejos
23303365;Madrid Art Centro, 2 Rooms, independent kitchen.;171656758;Cortes;Entire home/apt;56;3;99;2020-03-09;3.39;1;264;2020-07-17;Madrid;Spain;40.41100494698801, -3.6956387162350315;Spain, Madrid, Cortes
23430485;Claudio Coello;28038703;Recoletos;Entire home/apt;5000;3;10;2019-10-31;0.37;121;356;2020-07-17;Madrid;Spain;40.4250709244227, -3.686960594077371;Spain, Madrid, Recoletos
23517950;Plaza Santo Domingo;28038703;Palacio;Entire home/apt;5000;3;8;2019-11-14;0.29;121;359;2020-07-17;Madrid;Spain;40.41988364586823, -3.7077005653025634;Spain, Madrid, Palacio
23572337;CENTRO SOL GRAN VIA CALLAO MALASAÑA  A;2541550;Universidad;Entire home/apt;59;1;23;2019-06-09;0.82;10;24;2020-07-17;Madrid;Spain;40.42466179927712, -3.708211261751162;Spain, Madrid, Universidad
23639239;Moderno apartamento en La Latina, Madrid;99018982;Palacio;Entire home/apt;67;1;1;2019-03-11;0.06;107;26;2020-07-17;Madrid;Spain;40.40893638698651, -3.711036298882561;Spain, Madrid, Palacio
